City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
180,Gambela,8.25,34.5833,89.62,37,99,3.24,ET,overcast clouds,2022-03-15 07:24:34
181,Saint-Pierre,-21.3393,55.4781,86.29,71,75,10.36,RE,broken clouds,2022-03-15 07:24:34
182,Tigil,57.8,158.6667,10.54,95,7,3.89,RU,clear sky,2022-03-15 07:24:35
183,Ribeira Brava,32.65,-17.0667,59.63,73,74,12.93,PT,broken clouds,2022-03-15 07:24:35
184,Fereydunshahr,32.941,50.121,38.03,81,60,8.63,IR,broken clouds,2022-03-15 07:20:10
185,Ganzhou,28.8184,115.4327,80.02,58,9,2.35,CN,clear sky,2022-03-15 07:24:36
186,Yuli,9.6989,10.2744,80.83,15,65,9.4,NG,broken clouds,2022-03-15 07:24:37
187,Tucuman,-26.8241,-65.2226,64.4,82,0,9.22,AR,clear sky,2022-03-15 07:20:14
188,Coquimbo,-29.9533,-71.3436,60.53,88,100,4.61,CL,overcast clouds,2022-03-15 07:24:37
189,Sulat,11.8103,125.4544,83.61,73,100,5.59,PH,overcast clouds,2022-03-15 07:24:38
190,Lazaro Cardenas,17.9583,-102.2,71.73,87,1,4.5,MX,clear sky,2022-03-15 07:24:38
191,Shieli,44.1667,66.75,39.29,51,100,10.92,KZ,overcast clouds,2022-03-15 07:24:38
192,Denpasar,-8.65,115.2167,89.26,70,20,10.36,ID,few clouds,2022-03-15 07:21:32
193,Saint George,37.1041,-113.5841,49.78,34,0,4.61,US,clear sky,2022-03-15 07:19:52
194,Murray Bridge,-35.1167,139.2667,90.12,30,3,10.74,AU,clear sky,2022-03-15 07:24:39
195,Artigas,-30.4,-56.4667,60.1,79,0,5.99,UY,clear sky,2022-03-15 07:24:40
196,Goderich,43.7501,-81.7165,34.12,86,100,3.44,CA,overcast clouds,2022-03-15 07:24:40
197,Kalianget,-7.05,113.9333,85.68,70,58,7.11,ID,broken clouds,2022-03-15 07:24:41
198,Agadez,19.75,10.25,63.05,12,79,9.53,NE,broken clouds,2022-03-15 07:24:41
199,Qaanaaq,77.484,-69.3632,4.06,68,100,0.94,GL,overcast clouds,2022-03-15 07:24:42
200,Houma,29.5958,-90.7195,64.99,92,96,4.0,US,overcast clouds,2022-03-15 07:24:42
201,Margate,51.3813,1.3862,45.7,88,75,1.01,GB,broken clouds,2022-03-15 07:24:43
202,Melito Di Porto Salvo,37.9222,15.7714,58.33,54,5,9.22,IT,clear sky,2022-03-15 07:24:43
203,Port Elizabeth,-33.918,25.5701,64.09,77,100,12.66,ZA,overcast clouds,2022-03-15 07:24:43
204,Port Alfred,-33.5906,26.891,64.83,77,93,7.94,ZA,light rain,2022-03-15 07:24:44
205,Yellowknife,62.456,-114.3525,-14.28,76,20,3.44,CA,few clouds,2022-03-15 07:24:44
206,Lavrentiya,65.5833,-171.0,-10.82,91,22,6.51,RU,few clouds,2022-03-15 07:24:44
207,El Dorado,38.7666,-120.5177,52.32,60,88,1.99,US,overcast clouds,2022-03-15 07:24:45
208,Kodiak,57.79,-152.4072,31.51,80,40,0.0,US,scattered clouds,2022-03-15 07:24:45
209,Tuktoyaktuk,69.4541,-133.0374,-18.17,100,93,5.79,CA,overcast clouds,2022-03-15 07:24:46
210,Kalmunai,7.4167,81.8167,84.42,65,100,7.7,LK,overcast clouds,2022-03-15 07:24:46
211,Kruisfontein,-34.0033,24.7314,61.88,74,98,3.83,ZA,light rain,2022-03-15 07:24:46
212,Murray,40.6669,-111.888,41.76,64,0,8.05,US,clear sky,2022-03-15 07:23:26
213,Swan Hill,-35.3378,143.5544,67.14,80,100,10.98,AU,light rain,2022-03-15 07:24:47
